out_dir, DIC1, DIC2
chessB_double_pp_ncut5_zero_beta_noinfo_lc2/, 66007.78, 69401.89 
out_dir, DIC1, DIC2
chessB_double_nn_ncut5_zero_beta_noinfo_lc2/, 66525.09, 70391.06 
out_dir, DIC1, DIC2
chessB_np_ncut5_zero_beta_noinfo_lc2/, 67234.37, 68736.73 
out_dir, DIC1, DIC2
chessB_pn_ncut5_zero_beta_noinfo_lc2/, 67217.51, 69131.38 
out_dir, DIC1, DIC2
chessB_swdz_nn_ncut5_zero_beta_noinfo_lc2/, 67053.09, 70253.58 
out_dir, DIC1, DIC2
chessB_swdz_pp_ncut5_zero_beta_noinfo_lc2/, 66725.62, 69726.98 
out_dir, DIC1, DIC2
chessB_no_latent_ncut5_zero_beta_noinfo_lc2/, 67849.96, 67968.29 
out_dir, DIC1, DIC2
chessB_double_pp_ncut5_zero_beta_noinfo_lc2/, 66007.78, 69401.89 
out_dir, DIC1, DIC2
chessB_double_nn_ncut5_zero_beta_noinfo_lc2/, 66525.09, 70391.06 
out_dir, DIC1, DIC2
chessB_double_np_ncut5_zero_beta_noinfo_lc2/, 66413.12, 70693.54 
out_dir, DIC1, DIC2
chessB_double_pn_ncut5_zero_beta_noinfo_lc2/, 66151, 69798.04 
out_dir, DIC1, DIC2
chessB_np_ncut5_zero_beta_noinfo_lc2/, 67234.37, 68736.73 
out_dir, DIC1, DIC2
chessB_pn_ncut5_zero_beta_noinfo_lc2/, 67217.51, 69131.38 
out_dir, DIC1, DIC2
chessB_double_pp_ncut5_zero_beta_noinfo_lc2/, 66007.78, 69401.89 
out_dir, DIC1, DIC2
chessB_double_nn_ncut5_zero_beta_noinfo_lc2/, 66525.09, 70391.06 
out_dir, DIC1, DIC2
chessB_double_np_ncut5_zero_beta_noinfo_lc2/, 66413.12, 70693.54 
out_dir, DIC1, DIC2
chessB_double_pn_ncut5_zero_beta_noinfo_lc2/, 66151, 69798.04 
out_dir, DIC1, DIC2
chessB_np_ncut5_zero_beta_noinfo_lc2/, 67234.37, 68736.73 
out_dir, DIC1, DIC2
chessB_pn_ncut5_zero_beta_noinfo_lc2/, 67217.51, 69131.38 
out_dir, DIC1, DIC2
chessB_pp_ncut5_zero_beta_noinfo_lc2/, 67025.67, 68750.86 
out_dir, DIC1, DIC2
chessB_nn_ncut5_zero_beta_noinfo_lc2/, 67233.34, 68586.32 
out_dir, DIC1, DIC2
chessB_swdz_nn_ncut5_zero_beta_noinfo_lc2/, 67053.09, 70253.58 
out_dir, DIC1, DIC2
chessB_swdz_pp_ncut5_zero_beta_noinfo_lc2/, 66725.62, 69726.98 
