vname,mean
beta.1.0,0.7320104880185414
beta.1.1,0.9833403601556988
beta.2.0,0.8324000353886196
beta.2.1,0.9858763602142208
beta.3.0,0.8971891620882968
beta.3.1,0.9780149837734121
beta.4.0,0.8514196884085355
beta.4.1,0.9761601479348132
beta.5.0,0.8478592702565687
beta.5.1,0.9764017108131938
beta.6.0,0.9238575620721615
beta.6.1,0.9726413986084053
beta.7.0,0.9208171437193482
beta.7.1,0.9729346119620259
beta.8.0,0.9343536528564512
beta.8.1,0.9688213716329354
beta.9.0,0.9642563344903043
beta.9.1,0.9501075952307393
beta.10.0,0.9363629766344994
beta.10.1,0.967795774134636
beta.11.0,0.9576854677414542
beta.11.1,0.9633224730495276
beta.12.0,0.9637197646919469
beta.12.1,0.9480639212609461
beta.13.0,0.9591110277131798
beta.13.1,0.9596928560302
beta.14.0,0.9645343228583951
beta.14.1,0.9499676105992794
beta.15.0,0.9479753565221825
beta.15.1,0.9671616784821118
beta.16.0,0.9707176006434526
beta.16.1,0.9056463593411695
beta.17.0,0.9683748704668232
beta.17.1,0.9430891650981861
beta.18.0,0.9711226962384186
beta.18.1,0.9254044144530408
beta.19.0,0.9658175915988989
beta.19.1,0.9374208978649492
beta.20.0,0.9766481017672337
beta.20.1,0.8178548498011732
beta.21.0,0.8064718455508874
beta.21.1,0.9770602459545416
beta.22.0,0.9239045305288005
beta.22.1,0.96805764637736
beta.23.0,0.9327115710120899
beta.23.1,0.9699400576948864
beta.24.0,0.9732558486341201
beta.24.1,0.9151858657903837
beta.25.0,0.936735127159403
beta.25.1,0.9687830615529293
beta.26.0,0.9707823582727941
beta.26.1,0.901584288365484
beta.27.0,0.9771860243320594
beta.27.1,0.7967195366267279
beta.28.0,0.9714572803153543
beta.28.1,0.913857323898711
beta.29.0,0.9680760304229657
beta.29.1,0.9462980146970758
beta.30.0,0.9776450691098894
beta.30.1,0.8540431947188666
beta.31.0,0.49100105168488034
beta.31.1,0.9788068904145281
beta.32.0,0.7508035774602915
beta.32.1,0.9789107882142514
beta.33.0,0.8922885156481588
beta.33.1,0.9748839299652853
beta.34.0,0.9697787367447698
beta.34.1,0.9250884056455667
beta.35.0,0.9678908269253211
beta.35.1,0.9464058335082536
beta.36.0,0.9669234239963117
beta.36.1,0.9456197985843683
beta.37.0,0.9774475735382518
beta.37.1,0.832156867992221
beta.38.0,0.9748662336300076
beta.38.1,0.8935720547226522
beta.39.0,0.9709905541868064
beta.39.1,0.9283947437709565
beta.40.0,0.9714099490281767
beta.40.1,0.9017690315844463
theta.1.0,0.7399028191044662
theta.1.1,0.5574890104154683
theta.2.0,0.7910438340339097
theta.2.1,0.8144913853514212
theta.3.0,1.0217894145140913
theta.3.1,1.0670925427299853
theta.4.0,0.9272645774287813
theta.4.1,0.9744066831368288
theta.5.0,1.128339388274132
theta.5.1,1.1380771896625528
theta.6.0,0.9697503783377774
theta.6.1,0.9177863339696365
theta.7.0,0.8662501443088291
theta.7.1,0.8763241632659857
theta.8.0,2.1349457417343514
theta.8.1,1.3951723727066765
theta.9.0,1.1745544610653418
theta.9.1,1.1509549456178674
theta.10.0,2.7817009960799326
theta.10.1,1.424609137294287
theta.11.0,0.7578036568382336
theta.11.1,0.8725847056684508
theta.12.0,2.2380974054410543
theta.12.1,1.4089735590958337
theta.13.0,0.961843549075299
theta.13.1,0.9971115801043895
theta.14.0,0.8896918062717173
theta.14.1,0.8128301745024706
theta.15.0,1.0077269278757235
theta.15.1,1.0301021986688306
theta.16.0,1.411151079359212
theta.16.1,1.2370184639709647
theta.17.0,0.853588827030367
theta.17.1,0.47653496318540217
theta.18.0,0.7652684623020519
theta.18.1,0.779642657931846
theta.19.0,1.1767012602749276
theta.19.1,1.1251884726283794
theta.20.0,0.9913073607771247
theta.20.1,1.005926074888799
theta.21.0,1.5041838388045716
theta.21.1,1.5849311580177339
theta.22.0,0.9617955738884022
theta.22.1,1.016948287491601
theta.23.0,1.1115184033420924
theta.23.1,0.901686378199123
theta.24.0,0.898580998909057
theta.24.1,0.9029928571571996
theta.25.0,0.8270049017890115
theta.25.1,0.9005237582208209
theta.26.0,0.9013552007095776
theta.26.1,0.9423541924672292
theta.27.0,1.1086158717028152
theta.27.1,0.9365047081784464
theta.28.0,0.8736010024876746
theta.28.1,0.8932203099700732
theta.29.0,0.6356065609335108
theta.29.1,0.6959373809542594
theta.30.0,1.4125178227250395
theta.30.1,1.2137710872419896
theta.31.0,0.7524056078523744
theta.31.1,0.7667951976860572
theta.32.0,0.7249655825002523
theta.32.1,0.7646226462370361
theta.33.0,0.7760503678594539
theta.33.1,0.9069754491537235
theta.34.0,1.0128682841641776
theta.34.1,0.9753050416889231
theta.35.0,0.9735286777545025
theta.35.1,1.0004217216758406
theta.36.0,0.8237015499878338
theta.36.1,0.7753956188763301
theta.37.0,1.1151912112506437
theta.37.1,1.0820051453111077
theta.38.0,0.7468468523549404
theta.38.1,0.7135639750158121
theta.39.0,0.8530620655099752
theta.39.1,0.8408832469112867
theta.40.0,1.2873654020296508
theta.40.1,0.5754829067053436
theta.41.0,0.9621941802254564
theta.41.1,0.936322578353706
theta.42.0,1.3393880493073653
theta.42.1,1.2906816989472765
theta.43.0,1.64042571534483
theta.43.1,1.401473168062959
theta.44.0,1.2592070585699646
theta.44.1,1.3961527279331925
theta.45.0,2.1079047970680884
theta.45.1,1.5164120597337607
theta.46.0,0.7241242323935928
theta.46.1,0.34061685185438795
theta.47.0,0.7296128878422705
theta.47.1,0.6172816584244877
theta.48.0,1.5316045244544978
theta.48.1,1.2873510445457428
theta.49.0,0.932918793923011
theta.49.1,0.9327246025501886
theta.50.0,0.9871958759135386
theta.50.1,1.0396560991676984
theta.51.0,1.0810819059884276
theta.51.1,1.1448909398559408
theta.52.0,0.710931755301907
theta.52.1,0.33334628682255446
theta.53.0,1.3588596104777158
theta.53.1,1.2192421557993633
theta.54.0,1.2492033254062016
theta.54.1,0.5299319284822719
theta.55.0,0.6418261231404755
theta.55.1,0.7343467056832919
theta.56.0,1.2828678555284057
theta.56.1,1.1808195396432226
theta.57.0,1.0526476430614466
theta.57.1,0.7572639598322085
theta.58.0,0.782820297130779
theta.58.1,0.7635062342956511
theta.59.0,1.327063508684956
theta.59.1,1.263646587564634
theta.60.0,1.9903825392183256
theta.60.1,1.539004855783129
theta.61.0,1.587237914248765
theta.61.1,1.401589110743726
theta.62.0,1.0953417019338199
theta.62.1,0.5755953532270494
theta.63.0,0.890853538009543
theta.63.1,0.5658902252188552
theta.64.0,0.9710305651530426
theta.64.1,1.0121463640341255
theta.65.0,1.189607718077201
theta.65.1,1.2099543780489042
theta.66.0,1.0573924262432561
theta.66.1,1.103619140672927
theta.67.0,1.2614072717286848
theta.67.1,1.1836468899580606
theta.68.0,1.3899025782395675
theta.68.1,1.1645533625160494
theta.69.0,0.8599647389258203
theta.69.1,0.7617357125189003
theta.70.0,0.9279561011701863
theta.70.1,0.7049026285295596
theta.71.0,0.974492188176574
theta.71.1,0.9569703915103058
theta.72.0,1.0156233566520958
theta.72.1,1.0356843097925363
theta.73.0,1.3363038517769403
theta.73.1,1.1288623044822736
theta.74.0,1.0843191279928344
theta.74.1,1.1190507686934215
theta.75.0,0.9954704463501926
theta.75.1,0.8510580328830532
theta.76.0,0.7270995856733227
theta.76.1,0.5905690141466493
theta.77.0,1.0082773727818826
theta.77.1,1.0648588414523177
theta.78.0,1.2659131039948315
theta.78.1,1.2439930713342289
theta.79.0,0.9906146794735762
theta.79.1,1.0422583399937602
theta.80.0,0.8110816968881266
theta.80.1,0.5690016140481292
theta.81.0,1.5865096302499726
theta.81.1,1.4429483106543741
theta.82.0,1.0265070185297545
theta.82.1,0.9916069238502107
theta.83.0,0.763732754860008
theta.83.1,0.2872650279698826
theta.84.0,1.139770796211519
theta.84.1,1.1624036984845483
theta.85.0,1.2148544011531373
theta.85.1,1.1648018244433362
theta.86.0,0.9078309349418298
theta.86.1,0.9924913251991322
theta.87.0,0.8925973584451016
theta.87.1,0.9177138600973332
theta.88.0,0.9441877573108244
theta.88.1,0.5802720138520853
theta.89.0,0.893700645602687
theta.89.1,0.8761082726820418
theta.90.0,1.0510931688433995
theta.90.1,1.0648850477751055
theta.91.0,1.067692741421748
theta.91.1,1.2327919030314274
theta.92.0,0.74430839068115
theta.92.1,0.6668895920815916
theta.93.0,0.6226713938406427
theta.93.1,0.6024169152710552
theta.94.0,1.1133454404491143
theta.94.1,1.1200209971833057
theta.95.0,1.4116924390927128
theta.95.1,1.416608196217169
theta.96.0,1.1565908211407776
theta.96.1,1.1388884059186002
theta.97.0,1.0665256622168775
theta.97.1,1.0941208714219135
