,0
0,2
1,4
2,3
3,3
4,3
5,1
6,2
7,0
8,3
9,4
10,3
11,0
12,3
13,4
14,1
15,4
16,4
17,1
18,0
19,3
20,1
21,3
22,2
23,2
24,0
25,2
26,2
27,3
28,4
29,3
30,4
31,4
32,0
33,0
34,4
35,3
36,4
37,0
38,2
39,2
40,4
41,3
42,3
43,3
44,0
45,4
46,4
47,3
48,3
49,0
50,2
51,4
52,3
53,2
54,0
55,3
56,2
57,4
58,3
59,3
60,1
61,2
62,4
63,4
64,1
65,3
66,3
67,0
68,2
69,2
70,1
71,3
72,0
73,3
74,2
75,4
76,2
77,3
78,0
79,2
80,2
81,2
82,4
83,1
84,2
85,1
86,1
87,2
88,2
89,4
90,2
91,4
92,4
93,0
94,0
95,3
96,1
97,0
98,2
99,2
100,4
101,3
102,0
103,0
104,0
105,3
106,3
107,3
108,3
109,2
110,1
111,2
112,0
113,0
114,3
115,3
116,3
117,1
118,3
119,2
120,3
121,4
122,4
123,2
124,2
125,4
126,0
127,0
128,3
129,3
130,4
131,2
132,2
133,0
134,1
135,2
136,1
137,0
138,1
139,1
140,4
141,0
142,1
143,3
144,3
145,0
146,0
147,3
148,2
149,4
150,2
151,0
152,0
153,3
154,3
155,3
156,2
157,4
158,3
159,4
160,1
161,0
162,1
163,2
164,3
165,0
166,3
167,3
168,4
169,2
170,4
171,2
172,3
173,4
174,0
175,0
176,1
177,2
178,3
179,1
180,4
181,0
182,3
183,0
184,0
185,0
186,4
187,1
188,1
189,4
190,2
191,3
192,0
193,0
194,2
195,3
196,3
197,4
198,0
199,3
200,0
201,2
202,3
203,1
204,0
205,0
206,2
207,2
208,4
209,4
210,3
211,3
212,1
213,0
214,4
215,1
216,2
217,1
218,0
219,4
220,3
221,3
222,0
223,3
224,3
225,2
226,1
227,1
228,3
229,2
230,4
231,0
232,0
233,0
234,2
235,4
236,0
237,0
238,0
239,3
240,2
241,0
242,3
243,3
244,1
245,3
246,3
247,2
248,0
249,0
250,3
