vname,mean
lambda.0.1.1,0.004895276456131019
lambda.0.1.2,0.006799026263048957
lambda.0.1.3,0.026340953761488668
lambda.0.1.4,0.09206699253311305
lambda.0.1.5,10.925151041507235
lambda.0.2.1,0.004631511197310175
lambda.0.2.2,0.021410053434642095
lambda.0.2.3,0.09144070240288922
lambda.0.2.4,11.093892766118604
lambda.0.2.5,10.862244168099519
lambda.0.3.1,0.009076251427489898
lambda.0.3.2,0.01297380703181378
lambda.0.3.3,0.042387717551731784
lambda.0.3.4,0.12570619904596167
lambda.0.3.5,0.07210079675320831
lambda.0.4.1,6.120645625801954e-4
lambda.0.4.2,0.004378039238570904
lambda.0.4.3,0.012551370238371475
lambda.0.4.4,0.039927531110911386
lambda.0.4.5,0.08405558191006819
lambda.0.5.1,0.001849781020205738
lambda.0.5.2,0.007946211469154769
lambda.0.5.3,0.04087673088370483
lambda.0.5.4,0.03693957030187593
lambda.0.5.5,0.18804028034486048
lambda.0.6.1,0.002405600668271621
lambda.0.6.2,0.012188580800807076
lambda.0.6.3,0.026891800560402072
lambda.0.6.4,0.05238679857737621
lambda.0.6.5,0.12364250429474251
lambda.0.7.1,0.002206929640389332
lambda.0.7.2,0.0035384929101168706
lambda.0.7.3,0.011012041310283518
lambda.0.7.4,0.024573621558407494
lambda.0.7.5,0.06610631078268274
lambda.0.8.1,0.0023299817790508283
lambda.0.8.2,0.0058340360250304195
lambda.0.8.3,0.020020116891769944
lambda.0.8.4,0.044407296068736155
lambda.0.8.5,0.10915983094608413
lambda.0.9.1,0.002423263709014464
lambda.0.9.2,0.010337041804351646
lambda.0.9.3,0.018490072009868783
lambda.0.9.4,0.06184808274007098
lambda.0.9.5,0.12438397941527246
lambda.0.10.1,9.560094434947923e-4
lambda.0.10.2,0.0030937833715397062
lambda.0.10.3,0.008315930377378732
lambda.0.10.4,0.023419696342917053
lambda.0.10.5,0.06707499190303515
lambda.0.11.1,0.0027990327960066156
lambda.0.11.2,0.00256795716388978
lambda.0.11.3,0.0194668844115619
lambda.0.11.4,0.051535244899451625
lambda.0.11.5,0.11299328416288781
lambda.0.12.1,0.0010403763222283972
lambda.0.12.2,0.009462509269453979
lambda.0.12.3,0.029784333241758273
lambda.0.12.4,0.06034362297511751
lambda.0.12.5,0.1253708005560771
lambda.0.13.1,0.0018962181771767946
lambda.0.13.2,0.013040995962104306
lambda.0.13.3,0.03912167082040175
lambda.0.13.4,0.03865041837707891
lambda.0.13.5,0.08140178377593284
lambda.0.14.1,9.995919370727252e-4
lambda.0.14.2,0.003075028039829388
lambda.0.14.3,0.008457844771329832
lambda.0.14.4,0.01465140758368145
lambda.0.14.5,0.06944997170586381
lambda.0.15.1,0.0010272277875101282
lambda.0.15.2,0.0010944301705252397
lambda.0.15.3,0.009457816853465383
lambda.0.15.4,0.014712889373567576
lambda.0.15.5,0.06045298660016108
lambda.0.16.1,9.081937856254259e-4
lambda.0.16.2,0.007691842174678366
lambda.0.16.3,0.036475444063293984
lambda.0.16.4,0.05965899591213282
lambda.0.16.5,0.10381807905896828
lambda.0.17.1,0.0013556515315778965
lambda.0.17.2,0.004432379905445059
lambda.0.17.3,0.008836757727081888
lambda.0.17.4,0.01930207550095626
lambda.0.17.5,0.06941440496629185
lambda.0.18.1,0.0017698526103648647
lambda.0.18.2,0.01848592779297414
lambda.0.18.3,0.033508783840124616
lambda.0.18.4,0.03188046428810734
lambda.0.18.5,0.07398164574436686
lambda.0.19.1,9.456337579665256e-4
lambda.0.19.2,0.0028246343295142483
lambda.0.19.3,0.012592274031553548
lambda.0.19.4,0.01904849285198773
lambda.0.19.5,0.06784463804721612
lambda.0.20.1,0.0026491529150734655
lambda.0.20.2,0.0014642061597720402
lambda.0.20.3,0.004754020950337395
lambda.0.20.4,0.014567160017371366
lambda.0.20.5,0.07642916590630153
lambda.0.21.1,0.002810120968617378
lambda.0.21.2,0.006948191434850229
lambda.0.21.3,0.01138478813254407
lambda.0.21.4,0.0332407837924576
lambda.0.21.5,0.17570546324563868
lambda.0.22.1,0.002533814486759648
lambda.0.22.2,0.011856492347762185
lambda.0.22.3,0.022376994945678064
lambda.0.22.4,0.024436661421426392
lambda.0.22.5,0.06522413543298146
lambda.0.23.1,0.004770127711758923
lambda.0.23.2,0.008736209613060986
lambda.0.23.3,0.02578222730973079
lambda.0.23.4,0.02771304991097033
lambda.0.23.5,0.07457814080908874
lambda.0.24.1,0.004388981609879093
lambda.0.24.2,0.016037817382386393
lambda.0.24.3,0.030398756601210837
lambda.0.24.4,0.05786367347653609
lambda.0.24.5,0.09627412595770633
lambda.0.25.1,0.0018616303977811517
lambda.0.25.2,0.007875622886375786
lambda.0.25.3,0.010115860238375319
lambda.0.25.4,0.027092068418407
lambda.0.25.5,0.06165962803189858
lambda.0.26.1,0.0019216550791449822
lambda.0.26.2,0.009943311651272532
lambda.0.26.3,0.01970946329680673
lambda.0.26.4,0.04439706703485381
lambda.0.26.5,0.1273005042071531
lambda.0.27.1,0.0038380954985499384
lambda.0.27.2,0.014200211131361344
lambda.0.27.3,0.03924790125804042
lambda.0.27.4,0.05803010670217664
lambda.0.27.5,0.1644603707302447
lambda.0.28.1,9.063992609108363e-4
lambda.0.28.2,0.0013941583730443382
lambda.0.28.3,0.010102053945374254
lambda.0.28.4,0.01882988628844773
lambda.0.28.5,0.07479554692679743
lambda.0.29.1,0.0014461346896216356
lambda.0.29.2,0.004067072046731913
lambda.0.29.3,0.011907650966437706
lambda.0.29.4,0.02780647482636855
lambda.0.29.5,0.07861637739656764
lambda.0.30.1,0.003473333126770752
lambda.0.30.2,0.018911397686080387
lambda.0.30.3,0.03368524913836492
lambda.0.30.4,0.06216151715024926
lambda.0.30.5,0.11992318354946661
lambda.0.31.1,9.612610293913893e-4
lambda.0.31.2,0.009332604450954718
lambda.0.31.3,0.013805952117859044
lambda.0.31.4,0.024173465340534554
lambda.0.31.5,0.1107963938823639
lambda.0.32.1,0.0033993709019235264
lambda.0.32.2,0.017615238882918067
lambda.0.32.3,0.017942238848891734
lambda.0.32.4,0.022839160740898853
lambda.0.32.5,0.05546371127455525
lambda.0.33.1,0.0011842265218040618
lambda.0.33.2,0.012425859033447286
lambda.0.33.3,0.02282393747488959
lambda.0.33.4,0.03386258972580745
lambda.0.33.5,0.15742452148733715
lambda.0.34.1,0.062016696747943884
lambda.0.34.2,0.22241592583804892
lambda.0.34.3,0.46842627929583075
lambda.0.34.4,0.428132050543155
lambda.0.34.5,0.6445350595551068
lambda.0.35.1,0.010167314736277423
lambda.0.35.2,0.04950790011990376
lambda.0.35.3,0.07858688301080434
lambda.0.35.4,0.07932543256034806
lambda.0.35.5,0.1337831189489358
lambda.0.36.1,0.014105512817607005
lambda.0.36.2,0.05379942860910582
lambda.0.36.3,0.06392230146174437
lambda.0.36.4,0.08854387657824261
lambda.0.36.5,0.07414046118960474
lambda.0.37.1,0.021624468852952935
lambda.0.37.2,0.06821952735148903
lambda.0.37.3,0.09546297980171017
lambda.0.37.4,0.1090795429308463
lambda.0.37.5,0.2859750253060344
lambda.0.38.1,0.010455412618922477
lambda.0.38.2,0.050269484105026414
lambda.0.38.3,0.10209416686360416
lambda.0.38.4,0.11135441138838376
lambda.0.38.5,0.2106330597453396
lambda.0.39.1,0.02436280067701723
lambda.0.39.2,0.12124637327921588
lambda.0.39.3,0.0886725554018724
lambda.0.39.4,0.15655264294034812
lambda.0.39.5,0.25104708299827605
lambda.0.40.1,0.0026355588777974043
lambda.0.40.2,0.015623899953156708
lambda.0.40.3,0.011028818110042226
lambda.0.40.4,0.02601178898061856
lambda.0.40.5,0.08165419770021773
lambda.1.1.1,0.004930390651613187
lambda.1.1.2,0.030308435206770786
lambda.1.1.3,0.03613315990794667
lambda.1.1.4,0.1615857043845038
lambda.1.1.5,10.704601635736754
lambda.1.2.1,0.007846850441120129
lambda.1.2.2,0.03511639639675806
lambda.1.2.3,0.05932100941978358
lambda.1.2.4,11.065090497171042
lambda.1.2.5,11.243708871756755
lambda.1.3.1,0.0018907370738126008
lambda.1.3.2,0.01517508740882587
lambda.1.3.3,0.013945300736979664
lambda.1.3.4,0.02957279276288074
lambda.1.3.5,0.042509087284177995
lambda.1.4.1,0.0016133132042426047
lambda.1.4.2,0.006856758489647914
lambda.1.4.3,0.0099970448895772
lambda.1.4.4,0.00800232277069353
lambda.1.4.5,0.009709434960537182
lambda.1.5.1,0.003078092761206841
lambda.1.5.2,0.01656467214235714
lambda.1.5.3,0.016608686882194197
lambda.1.5.4,0.00891501611584526
lambda.1.5.5,0.03525959848395289
lambda.1.6.1,0.001118790739490041
lambda.1.6.2,0.005656035725798958
lambda.1.6.3,0.005248250092516101
lambda.1.6.4,0.004298449821605644
lambda.1.6.5,0.0033057318824579137
lambda.1.7.1,7.682475411270301e-4
lambda.1.7.2,0.0037695065730480215
lambda.1.7.3,0.0038350233685142576
lambda.1.7.4,0.003306323183739774
lambda.1.7.5,0.003992874170780925
lambda.1.8.1,7.089886286198974e-4
lambda.1.8.2,0.0039017998831729693
lambda.1.8.3,0.002748958188684497
lambda.1.8.4,0.0027684333046506895
lambda.1.8.5,0.002363223739159939
lambda.1.9.1,6.656180530141349e-5
lambda.1.9.2,6.02254500623743e-4
lambda.1.9.3,7.910827487648581e-4
lambda.1.9.4,0.0010764115605531959
lambda.1.9.5,0.00112878241113381
lambda.1.10.1,1.3402379007064976e-4
lambda.1.10.2,0.0015351937705412248
lambda.1.10.3,0.0020395970202197493
lambda.1.10.4,0.003720089222797168
lambda.1.10.5,0.004987323251382893
lambda.1.11.1,6.77027376058405e-4
lambda.1.11.2,0.001961069146288732
lambda.1.11.3,0.001704911653505698
lambda.1.11.4,0.0010455656949709782
lambda.1.11.5,8.820414108764275e-4
lambda.1.12.1,7.8574875732811e-5
lambda.1.12.2,7.951122981609122e-4
lambda.1.12.3,0.0011406870862075453
lambda.1.12.4,0.0014500196755183501
lambda.1.12.5,0.0014299299648740504
lambda.1.13.1,2.7501537070090973e-4
lambda.1.13.2,0.0016198273778704894
lambda.1.13.3,0.0017763678863184508
lambda.1.13.4,0.0018573090130278606
lambda.1.13.5,0.002844014943263431
lambda.1.14.1,9.178562174281397e-5
lambda.1.14.2,6.542974510160607e-4
lambda.1.14.3,0.0011097365054597943
lambda.1.14.4,7.35281054632888e-4
lambda.1.14.5,8.843462815490427e-4
lambda.1.15.1,8.074241343859558e-5
lambda.1.15.2,0.0010737269268294917
lambda.1.15.3,0.0026458403176431934
lambda.1.15.4,0.0018121072675424362
lambda.1.15.5,0.0012939591106949746
lambda.1.16.1,8.551197164041052e-5
lambda.1.16.2,4.195925567953769e-4
lambda.1.16.3,9.619116408279002e-4
lambda.1.16.4,8.413205561379511e-4
lambda.1.16.5,3.6139907786182776e-4
lambda.1.17.1,1.5014298164249274e-4
lambda.1.17.2,6.447439243038002e-4
lambda.1.17.3,7.461549737573178e-4
