vname,mean
beta.1.0,0
beta.1.1,0
beta.2.0,0
beta.2.1,0
beta.3.0,0
beta.3.1,0
beta.4.0,0
beta.4.1,0
beta.5.0,0
beta.5.1,0
beta.6.0,0
beta.6.1,0
beta.7.0,0
beta.7.1,0
beta.8.0,0
beta.8.1,0
beta.9.0,0
beta.9.1,0
beta.10.0,0
beta.10.1,0
beta.11.0,0
beta.11.1,0
beta.12.0,0
beta.12.1,0
beta.13.0,0
beta.13.1,0
beta.14.0,0
beta.14.1,0
beta.15.0,0
beta.15.1,0
beta.16.0,0
beta.16.1,0
beta.17.0,0
beta.17.1,0
beta.18.0,0
beta.18.1,0
beta.19.0,0
beta.19.1,0
beta.20.0,0
beta.20.1,0
beta.21.0,0
beta.21.1,0
beta.22.0,0
beta.22.1,0
beta.23.0,0
beta.23.1,0
beta.24.0,0
beta.24.1,0
beta.25.0,0
beta.25.1,0
beta.26.0,0
beta.26.1,0
beta.27.0,0
beta.27.1,0
beta.28.0,0
beta.28.1,0
beta.29.0,0
beta.29.1,0
beta.30.0,0
beta.30.1,0
beta.31.0,0
beta.31.1,0
beta.32.0,0
beta.32.1,0
beta.33.0,0
beta.33.1,0
beta.34.0,0
beta.34.1,0
beta.35.0,0
beta.35.1,0
beta.36.0,0
beta.36.1,0
beta.37.0,0
beta.37.1,0
beta.38.0,0
beta.38.1,0
beta.39.0,0
beta.39.1,0
beta.40.0,0
beta.40.1,0
theta.1.0,-2.5093088
theta.1.1,-5.79275268
theta.2.0,-3.0846006
theta.2.1,-4.31596426
theta.3.0,-3.13671654
theta.3.1,-2.92780148
theta.4.0,-2.94677691
theta.4.1,-3.53239348
theta.5.0,-1.975245968
theta.5.1,-3.59906227
theta.6.0,-2.22529122
theta.6.1,-4.15289852
theta.7.0,-2.69852366
theta.7.1,-4.55779978
theta.8.0,-1.557524287
theta.8.1,-1.620545237
theta.9.0,-2.34299076
theta.9.1,-3.1747937
theta.10.0,-0.57465225732
theta.10.1,-1.328870031
theta.11.0,-3.6774267
theta.11.1,-3.41474757
theta.12.0,-1.296012597
theta.12.1,-1.734091534
theta.13.0,-2.73419482
theta.13.1,-3.46083915
theta.14.0,-2.61009043
theta.14.1,-4.83495882
theta.15.0,-2.0961226
theta.15.1,-4.20393242
theta.16.0,-2.146507158
theta.16.1,-3.07095004
theta.17.0,-2.42842074
theta.17.1,-5.87536857
theta.18.0,-3.03423127
theta.18.1,-4.35785974
theta.19.0,-2.71889155
theta.19.1,-3.01048639
theta.20.0,-2.539262024
theta.20.1,-3.71741962
theta.21.0,-0.914884639019
theta.21.1,-3.01042183
theta.22.0,-3.34058351
theta.22.1,-2.95697419
theta.23.0,-1.4394261941
theta.23.1,-5.01679726
theta.24.0,-2.60734111
theta.24.1,-4.46166525
theta.25.0,-3.40324129
theta.25.1,-3.51324948
theta.26.0,-2.48070998
theta.26.1,-4.55414146
theta.27.0,-1.432820513
theta.27.1,-4.85195206
theta.28.0,-2.76684357
theta.28.1,-3.9727029
theta.29.0,-3.65599353
theta.29.1,-4.60555792
theta.30.0,-2.63084137
theta.30.1,-2.23789927
theta.31.0,-3.12734409
theta.31.1,-4.56610586
theta.32.0,-3.46167432
theta.32.1,-4.52018958
theta.33.0,-3.5372644
theta.33.1,-3.59758601
theta.34.0,-2.43676698
theta.34.1,-4.04500454
theta.35.0,-2.92722822
theta.35.1,-3.5097342
theta.36.0,-2.86880444
theta.36.1,-4.52049719
theta.37.0,-2.37051358
theta.37.1,-3.61188612
theta.38.0,-3.23571837
theta.38.1,-4.44969103
theta.39.0,-2.502219803
theta.39.1,-4.86844957
theta.40.0,-1.171469342
theta.40.1,-5.85019699
theta.41.0,-2.30696626
theta.41.1,-4.68195092
theta.42.0,-1.932676154
theta.42.1,-2.87066268
theta.43.0,-1.722145549
theta.43.1,-2.28234549
theta.44.0,-1.28704594
theta.44.1,-3.57884727
theta.45.0,-0.9930917803
theta.45.1,-2.01575101
theta.46.0,-2.94929437
theta.46.1,-6.25345067
theta.47.0,-3.09181178
theta.47.1,-5.28469843
theta.48.0,-2.1680417
theta.48.1,-2.34840974
theta.49.0,-2.37033701
theta.49.1,-4.08051195
theta.50.0,-2.88492668
