vname,mean
lambda.0.1.1,0.4936451025
lambda.0.1.2,0.8996555015
lambda.0.1.3,3.078795826
lambda.0.1.4,1.9366365377599999
lambda.0.1.5,2.4534129538
lambda.0.2.1,0.4017475208
lambda.0.2.2,2.284559968
lambda.0.2.3,5.594512419
lambda.0.2.4,2.05477709067
lambda.0.2.5,2.45209655617
lambda.0.3.1,0.537528236
lambda.0.3.2,1.013512564
lambda.0.3.3,3.25113758
lambda.0.3.4,7.775204173
lambda.0.3.5,1.9801486519
lambda.0.4.1,0.0291778102016
lambda.0.4.2,0.2633250172
lambda.0.4.3,0.813391654
lambda.0.4.4,2.285562703
lambda.0.4.5,3.812348071
lambda.0.5.1,0.09987278571
lambda.0.5.2,0.5819188192
lambda.0.5.3,3.53791324
lambda.0.5.4,3.005666809
lambda.0.5.5,4.971920786
lambda.0.6.1,0.08029583736
lambda.0.6.2,0.474826746
lambda.0.6.3,1.312155746
lambda.0.6.4,2.62180903
lambda.0.6.5,5.55316637
lambda.0.7.1,0.07517040706
lambda.0.7.2,0.1426346136
lambda.0.7.3,0.488121657
lambda.0.7.4,1.300117021
lambda.0.7.5,3.83390734
lambda.0.8.1,0.08241902196
lambda.0.8.2,0.2236142985
lambda.0.8.3,0.873037047
lambda.0.8.4,2.32903856
lambda.0.8.5,5.68270383
lambda.0.9.1,0.06827156256
lambda.0.9.2,0.326643408
lambda.0.9.3,0.616239008
lambda.0.9.4,2.21945247
lambda.0.9.5,4.84284695
lambda.0.10.1,0.03900712424
lambda.0.10.2,0.1331212886
lambda.0.10.3,0.399299784
lambda.0.10.4,1.286577182
lambda.0.10.5,3.88428056
lambda.0.11.1,0.0943586983
lambda.0.11.2,0.0968031311
lambda.0.11.3,0.763926236
lambda.0.11.4,2.23214169
lambda.0.11.5,5.57758305
lambda.0.12.1,0.03389425843
lambda.0.12.2,0.329741378
lambda.0.12.3,1.140836641
lambda.0.12.4,2.50576345
lambda.0.12.5,5.41917452
lambda.0.13.1,0.06830202754
lambda.0.13.2,0.543800205
