vname,mean
lambda.0.1.1,0.003920113372342085
lambda.0.1.2,0.014303160598143157
lambda.0.1.3,0.016065733500681384
lambda.0.1.4,0.01728122564917307
lambda.0.1.5,0.06226919766471271
lambda.0.2.1,0.001955242096399811
lambda.0.2.2,0.00791751201883351
lambda.0.2.3,0.007048054476628707
lambda.0.2.4,0.013076048198288287
lambda.0.2.5,0.014567632278877382
lambda.0.3.1,8.143075722450947e-4
lambda.0.3.2,0.003108432385061749
lambda.0.3.3,0.005368846205603
lambda.0.3.4,0.01148631319812673
lambda.0.3.5,0.013637432022002778
lambda.0.4.1,0.0014391761571961586
lambda.0.4.2,0.009200847267865927
lambda.0.4.3,0.01148476574052962
lambda.0.4.4,0.025557016287588177
lambda.0.4.5,0.03694138751992801
lambda.0.5.1,0.0019110294366920194
lambda.0.5.2,0.007385360328140909
lambda.0.5.3,0.009748557375851088
lambda.0.5.4,0.019646714798625235
lambda.0.5.5,0.03190669099219172
lambda.0.6.1,0.0016941322385684687
lambda.0.6.2,0.004614789537696386
lambda.0.6.3,0.004716138012429658
lambda.0.6.4,0.014683171230786496
lambda.0.6.5,0.007894140497609755
lambda.0.7.1,0.002258998894447902
lambda.0.7.2,0.007153870435066409
lambda.0.7.3,0.012157364106721719
lambda.0.7.4,0.0114274262966402
lambda.0.7.5,0.016538608501152453
lambda.0.8.1,0.004746444087970842
lambda.0.8.2,0.020961890527029677
lambda.0.8.3,0.024000123295048317
lambda.0.8.4,0.052450296037874954
lambda.0.8.5,0.03873236571281961
lambda.0.9.1,0.002288901441226762
lambda.0.9.2,0.01601302494464736
lambda.0.9.3,0.010760004612844543
lambda.0.9.4,0.022307815625836537
lambda.0.9.5,0.04041794764458772
lambda.0.10.1,0.004748337511382055
lambda.0.10.2,0.022873997661589558
lambda.0.10.3,0.025786309565901406
lambda.0.10.4,0.030419435919007115
lambda.0.10.5,0.04734048986326961
lambda.0.11.1,0.002774794468567384
lambda.0.11.2,0.007787867178174472
lambda.0.11.3,0.010450221372379812
lambda.0.11.4,0.01928015010384224
lambda.0.11.5,0.1695050428055146
lambda.0.12.1,0.003198875844739658
lambda.0.12.2,0.00769703784348569
lambda.0.12.3,0.006407434640208385
lambda.0.12.4,0.015430529515202728
lambda.0.12.5,0.025082139659439916
lambda.0.13.1,0.005296554616191724
lambda.0.13.2,0.015168473803819842
lambda.0.13.3,0.017932278345521288
lambda.0.13.4,0.01990259123076385
