vname,mean
beta.1.0,0.5400854645767811
beta.1.1,0.9794640861891398
beta.2.0,0.3771111961054032
beta.2.1,0.9585475530652814
beta.3.0,0.7943204085544334
beta.3.1,0.9788445324456392
beta.4.0,0.7543028894172854
beta.4.1,0.9785964384251001
beta.5.0,0.7803294761674847
beta.5.1,0.9826248766212309
beta.6.0,0.8284809359641016
beta.6.1,0.9663890452426181
beta.7.0,0.8711088782008231
beta.7.1,0.9606741958871311
beta.8.0,0.8019624821297041
beta.8.1,0.9771564132896797
beta.9.0,0.8431849047430091
beta.9.1,0.9800391258001561
beta.10.0,0.8766919278133752
beta.10.1,0.9753084444439788
beta.11.0,0.8120351317411473
beta.11.1,0.9817179717585246
beta.12.0,0.6882946031436691
beta.12.1,0.9598545391517633
beta.13.0,0.8189782347923354
beta.13.1,0.964522809725486
beta.14.0,0.9221461878490582
beta.14.1,0.9789932685379918
beta.15.0,0.8218692346694517
beta.15.1,0.9803391233074005
beta.16.0,0.8693603742509949
beta.16.1,0.9793279945352952
beta.17.0,0.7205886770933589
beta.17.1,0.9781933452752984
beta.18.0,0.8720026667022168
beta.18.1,0.946476557191495
beta.19.0,0.9517695820425929
beta.19.1,0.9753992281314566
beta.20.0,0.9125243822197756
beta.20.1,0.9751282826607173
beta.21.0,0.9443629185017006
beta.21.1,0.9686148158853256
beta.22.0,0.9428648054402372
beta.22.1,0.9721389076087085
beta.23.0,0.8587080335526212
beta.23.1,0.9647859630009589
beta.24.0,0.8975762417212951
beta.24.1,0.9627942073883298
beta.25.0,0.91477706381526
beta.25.1,0.9332708893848671
beta.26.0,0.9584036450813324
beta.26.1,0.965074409437496
beta.27.0,0.9609717716654482
beta.27.1,0.9720385604788238
beta.28.0,0.8641701163747196
beta.28.1,0.9504187901932842
beta.29.0,0.9658882781939128
beta.29.1,0.9592996752850027
beta.30.0,0.947936238352885
beta.30.1,0.8749720383394146
beta.31.0,0.9767491961850653
beta.31.1,0.9183996874235341
beta.32.0,0.9549821118109421
beta.32.1,0.9199134210114437
beta.33.0,0.9793689348203399
beta.33.1,0.9335287593272447
beta.34.0,0.9782425157862227
beta.34.1,0.848310071134224
theta.1.0,1.8037734526292546
theta.1.1,0.6608177221501944
theta.2.0,0.8079920222700661
theta.2.1,0.8661386709730162
theta.3.0,1.4767430999597415
theta.3.1,1.317387103058406
theta.4.0,1.0032538331391356
theta.4.1,0.9716656425238811
theta.5.0,0.8115959797146727
theta.5.1,1.041546992529235
theta.6.0,1.1767688067970765
theta.6.1,1.1774198837473802
theta.7.0,0.9381122266501253
theta.7.1,1.0951117097481529
theta.8.0,0.6687569765029614
theta.8.1,0.7844797775802236
theta.9.0,1.0168810397566754
theta.9.1,0.8949649130171985
theta.10.0,0.4120536892290083
theta.10.1,0.8341936239578415
theta.11.0,0.6320820750710118
theta.11.1,0.8747525723551107
theta.12.0,1.596239722081246
theta.12.1,1.4255605349496918
theta.13.0,1.4208660829517579
theta.13.1,0.7343086500195594
theta.14.0,1.176308927631093
theta.14.1,1.0223875872022108
theta.15.0,0.8956429070525319
theta.15.1,0.8991191990275565
theta.16.0,0.8480519581494183
theta.16.1,0.9762672173099604
theta.17.0,1.1677126855650628
theta.17.1,1.1528189753801061
theta.18.0,0.9724057162617198
theta.18.1,0.7150969461001703
theta.19.0,1.4032679056328246
theta.19.1,1.3156683434475855
theta.20.0,1.0061995013847687
theta.20.1,1.0210021039891988
theta.21.0,1.328891274370594
theta.21.1,1.1227486017341983
theta.22.0,1.0378855327932268
theta.22.1,1.09837113427371
theta.23.0,0.33525413508255414
theta.23.1,0.7458957537662835
theta.24.0,0.5209006089615197
theta.24.1,0.6164025639789127
theta.25.0,1.0669657472200211
theta.25.1,1.1080305695954813
theta.26.0,1.6413944423338829
theta.26.1,1.2713624078919041
theta.27.0,1.9077021271537602
theta.27.1,1.6736906231256254
theta.28.0,0.6833106141216763
theta.28.1,0.728127311463566
theta.29.0,0.6721500439717168
theta.29.1,0.9963174849954822
theta.30.0,1.4342325382924976
theta.30.1,1.0137901398264142
theta.31.0,0.940252615977075
theta.31.1,0.9458151386626902
theta.32.0,1.348431856538675
theta.32.1,0.8588763302577901
theta.33.0,1.1210843147938503
theta.33.1,1.1476593467953553
theta.34.0,0.9827269844225648
theta.34.1,1.143352953003968
theta.35.0,0.9357652195962317
theta.35.1,1.081918236145529
theta.36.0,0.9070145430640117
theta.36.1,0.6684895921018282
theta.37.0,1.0657385326945057
theta.37.1,1.153552561151403
theta.38.0,1.324105920538237
theta.38.1,1.178516876975828
theta.39.0,1.1299670971538651
theta.39.1,0.7565472906870574
theta.40.0,0.6130295538735162
theta.40.1,0.8313330247072453
theta.41.0,1.2136069169286476
theta.41.1,1.228026126129221
theta.42.0,0.8901850542784098
theta.42.1,1.002962750690837
theta.43.0,1.6216847963419105
theta.43.1,1.317922085735953
theta.44.0,0.8574775232410579
theta.44.1,0.8048035129794946
theta.45.0,0.7235733155045913
theta.45.1,0.5906160423365807
theta.46.0,0.9291715497932533
theta.46.1,1.0120219603321896
theta.47.0,1.2462010045734353
theta.47.1,1.1811734917251606
theta.48.0,1.0424261842503877
theta.48.1,1.0489890152703172
theta.49.0,1.2946313183623184
theta.49.1,0.7954004964326106
theta.50.0,0.8039483913788791
theta.50.1,0.8888602425708004
theta.51.0,0.8521987183569516
theta.51.1,0.9101491900195007
theta.52.0,0.7327828642619109
theta.52.1,0.9158547400095598
theta.53.0,1.1492964215379664
theta.53.1,1.1494260524334803
theta.54.0,0.8966972111561674
theta.54.1,1.036240050647891
theta.55.0,0.9584395707335923
theta.55.1,1.0794792183675581
theta.56.0,-0.8060162833078127
theta.56.1,1.1082913224946491
theta.57.0,1.593650273247376
theta.57.1,1.3569592070901941
theta.58.0,0.8157056326269286
theta.58.1,1.0222872415974162
theta.59.0,1.0729018294873662
theta.59.1,1.0894584397005216
theta.60.0,-0.8681263595357335
theta.60.1,1.1057810419689877
theta.61.0,1.1065136306727912
theta.61.1,1.0430063196692443
theta.62.0,1.0440034564957963
theta.62.1,1.066610793319959
theta.63.0,1.639431680940952
theta.63.1,0.9939823930246008
theta.64.0,0.9325058280029287
theta.64.1,0.9850113591521028
theta.65.0,0.930774451101282
theta.65.1,0.9793619447471116
theta.66.0,1.2011825104330747
theta.66.1,1.1493930198600235
theta.67.0,0.9745000329277929
theta.67.1,1.122674842816953
theta.68.0,0.9818703470809182
theta.68.1,0.24755319888567212
theta.69.0,1.091359883567404
theta.69.1,0.6832959919418775
theta.70.0,1.068836186414555
theta.70.1,0.994950667864241
theta.71.0,1.1867967055579036
theta.71.1,0.7754372473394219
theta.72.0,1.024683368240601
theta.72.1,0.777864359940865
theta.73.0,0.6462475323015142
theta.73.1,0.8568973357565133
theta.74.0,1.282554155935503
theta.74.1,1.2062533915601397
theta.75.0,0.603815748203107
theta.75.1,0.8721562736648696
theta.76.0,2.085385893152846
theta.76.1,1.588998172291705
theta.77.0,1.0439949763065461
theta.77.1,1.1021115188698956
theta.78.0,1.0680305403183064
theta.78.1,1.0344883889167489
theta.79.0,1.0277394021701394
theta.79.1,1.1558052913855894
theta.80.0,-0.6731641846085008
theta.80.1,1.1555947135259783
theta.81.0,1.4881768422542183
theta.81.1,1.3413620459602094
theta.82.0,0.7075985614573511
theta.82.1,0.8375395199239369
theta.83.0,1.009194549393601
theta.83.1,0.9392736396760046
theta.84.0,1.2428908885927892
theta.84.1,1.1925079591592873
theta.85.0,-0.7799111847925013
theta.85.1,1.141642726006253
theta.86.0,1.090325813100952
theta.86.1,1.0582190539957286
theta.87.0,0.8224038548863785
theta.87.1,1.0566359900300921
theta.88.0,1.4529327683045261
theta.88.1,1.3028467818790412
theta.89.0,-1.3032627054872155
theta.89.1,1.0062791491530394
theta.90.0,0.9786297833244232
theta.90.1,1.0624889571142737
theta.91.0,0.7694999638253759
theta.91.1,0.9066507378734043
theta.92.0,1.6987947682500828
theta.92.1,1.5163381684713715
theta.93.0,1.1101695629152994
theta.93.1,1.1056119427230235
theta.94.0,1.1005636242546835
theta.94.1,1.1607064250657697
theta.95.0,1.002211491865643
theta.95.1,0.9685181725816405
theta.96.0,1.6593943485262106
theta.96.1,1.3585663849551421
theta.97.0,1.110847897086988
theta.97.1,1.164126192820915
theta.98.0,0.7525976165576843
theta.98.1,0.9987694877613492
theta.99.0,1.6361490133989076
theta.99.1,1.3467430344318025
theta.100.0,0.5143826484098033
theta.100.1,0.760041496203585
theta.101.0,1.036704551546704
theta.101.1,1.1548167951962982
theta.102.0,1.0365588273550337
theta.102.1,1.1248811709924704
theta.103.0,0.8816775619353585
theta.103.1,1.0424498382480514
theta.104.0,1.0429246693691212
theta.104.1,1.120559185331958
theta.105.0,1.3908791659368016
theta.105.1,1.2766312094877579
theta.106.0,1.0211881504325249
theta.106.1,1.0378994619961672
theta.107.0,1.0307141523086694
theta.107.1,0.9176086001861521
theta.108.0,0.6911771284336402
theta.108.1,0.9084214614829264
theta.109.0,1.0267697286404482
theta.109.1,1.0678042112928754
theta.110.0,1.6333938379056459
theta.110.1,1.2587669694010888
theta.111.0,0.4545049175305055
theta.111.1,0.6139440525308645
theta.112.0,1.204395259537819
theta.112.1,1.1374009346567133
theta.113.0,0.6443094913436411
theta.113.1,0.8990149251618945
theta.114.0,-0.8038832261025658
theta.114.1,1.1626508180739616
theta.115.0,0.936379486678844
theta.115.1,1.0759359608358974
theta.116.0,0.7757288786376959
theta.116.1,0.8902531772083716
theta.117.0,1.030360775970511
theta.117.1,1.0464913250247208
theta.118.0,0.6489961966456714
theta.118.1,0.745125132234111
theta.119.0,0.8718054644886111
theta.119.1,0.9728346734806715
theta.120.0,1.193687105878391
theta.120.1,0.7516279733170625
theta.121.0,0.42771052769503837
