vname,mean
lambda.0.1.1,9.027944631096307e-4
lambda.0.1.2,0.003176131196720023
lambda.0.1.3,0.002664694533334251
lambda.0.1.4,0.006179707989226737
lambda.0.1.5,0.008686204344447102
lambda.0.2.1,6.799711285454561e-4
lambda.0.2.2,0.0032182955492984677
lambda.0.2.3,0.010205972831122418
lambda.0.2.4,0.006848675870731179
lambda.0.2.5,0.02186514426456715
lambda.0.3.1,0.0010451641176934879
lambda.0.3.2,0.00582668900433076
lambda.0.3.3,0.002477151019937538
lambda.0.3.4,0.008670486697194732
lambda.0.3.5,0.008344764877460938
lambda.0.4.1,4.8051633801103654e-4
lambda.0.4.2,0.005204795225864322
lambda.0.4.3,0.005170411904435965
lambda.0.4.4,0.006018839404720913
lambda.0.4.5,0.013886600979528802
lambda.0.5.1,9.797764307959717e-4
lambda.0.5.2,0.0037645464230671153
lambda.0.5.3,0.004960968680348843
lambda.0.5.4,0.008238097754160801
lambda.0.5.5,0.008761704482459387
lambda.0.6.1,0.0012223161089749601
lambda.0.6.2,0.006974451336746596
lambda.0.6.3,0.009470024411515468
lambda.0.6.4,0.008691379949705383
lambda.0.6.5,0.009952857486719792
lambda.0.7.1,0.0024501435404433703
lambda.0.7.2,0.01058248782859204
lambda.0.7.3,0.005939537426656642
lambda.0.7.4,0.012772905197101803
lambda.0.7.5,0.023231995546780248
lambda.0.8.1,0.0012730300525517983
lambda.0.8.2,0.003668136898513112
lambda.0.8.3,0.0069090175714072175
lambda.0.8.4,0.008004253425153294
lambda.0.8.5,0.006380800170492867
lambda.0.9.1,5.925236517917034e-4
lambda.0.9.2,0.0016285900050698257
lambda.0.9.3,0.006285118005790539
lambda.0.9.4,0.0063314871628478596
lambda.0.9.5,0.01211316468506168
lambda.0.10.1,0.001323868143103339
lambda.0.10.2,0.005012024910781491
lambda.0.10.3,0.010972790724427778
lambda.0.10.4,0.009872052866188438
lambda.0.10.5,0.011785883679781759
lambda.0.11.1,5.222826146239827e-4
lambda.0.11.2,0.002483418978586256
lambda.0.11.3,0.0044096827002129265
lambda.0.11.4,0.004584342047624663
lambda.0.11.5,0.008656648339085847
lambda.0.12.1,5.187828552485395e-4
lambda.0.12.2,0.0042778609541820264
lambda.0.12.3,0.004909857727802623
lambda.0.12.4,0.006320804782185927
lambda.0.12.5,0.022506995282931017
lambda.0.13.1,0.0012875932638950203
lambda.0.13.2,0.002659236883590922
lambda.0.13.3,0.011280810709558026
lambda.0.13.4,0.0070963561652153655
lambda.0.13.5,0.010989102063321307
lambda.0.14.1,0.004928409624896079
lambda.0.14.2,0.008077250470309855
lambda.0.14.3,0.008634583950213461
